"","stock","Open","High","Low","Close","Volume","Adjusted","BBand_pctB","RSI","PPO","ATR","EMA3","EMA30","EMADiff","mySignal","stopPct","buysell"
"2","IWC","72.96","73.41","71.28","72.22","160000","72.22","0.179164035271254","36.8709263677974","-0.0990034800962432","0.770245024095084","72.917466016801","75.1325088935988","-0.0294818169846388","-20.8158860408345","2.13305185293571","-"
"21","SLY","100.86","101.75","98.73","100.01","12300","100.01","0.223060953583154","41.1511204327623","-0.0930990752230165","0.8525651262385","100.605455020389","101.916077589126","-0.0128598215290531","-14.8461179887547","1.70495975650135","-"
"3","SPY","187.05","187.69","184.96","186.88","134985400","186.88","0.590055421209171","53.3163061694848","0.0758824927893211","1.19868107679964","186.901421720933","185.821724963119","0.00581039035143942","5.31965419248681","1.28283505650646","-"
"4","DIA","164.13","164.69","162.78","164.17","7235300","164.17","0.621051767638448","54.4660015971256","0.0494091388216217","0.876762162472582","164.062942233629","163.062866425532","0.00613306898142659","6.98910228694804","1.06811495702331","-"
"5","XLK","35.87","36.21","35.62","36.09","12067900","36.09","0.51923693626247","51.0039270200895","0.00392010911370371","0.276026690778406","36.0161717842239","36.0035443027894","0.000350728842924535","1.26894155592134","1.5296574717562","-"
"6","AAPL","572.8","595.75","572.55","594.09","23890900","594.09","1.24416109676693","77.471264066072","1.28082398019843","6.94140695077942","576.87338281585","537.959475533065","0.0723361313493454","46.4410886036618","2.33681999386605","SELL"
"7","MSFT","40.14","41.29","40.09","40.87","50603200","40.87","0.777342082121447","60.827877351459","-0.0698396068529329","0.430289682683343","40.3742393760406","39.6933139571594","0.0171546628637793","16.7699263530083","2.10565051472152","SELL"
"8","VZ","46.22","46.69","46.15","46.6","21876900","46.6","0.184543369031927","45.7777490925212","-0.346823762106539","0.325754431637747","46.5214971934248","47.0224142068314","-0.0106527285307665","-12.1183768078876","1.39808768943239","-"
"9","IBM","191.14","193.99","190.58","193.14","5632600","193.14","0.457670718923014","53.2078637658769","-0.389465795522037","1.63840662078104","191.767301058526","191.375045312418","0.00204967029775327","1.55263282725835","1.69660000080879","-"
"10","ORCL","39.75","40.28","39.65","40.13","20139200","40.13","0.511148841008465","54.3240287675506","-0.21586765474872","0.449838041703058","39.9010001285875","39.5632875121558","0.00853600996448839","4.37534359732343","2.24190402044883","-"
"11","QCOM","78","78.6","77.37","78.05","12603300","78.05","0.217477559885046","46.5123759885922","-0.421795360011682","0.843181398713441","78.2468010928632","78.6098026862141","-0.00461776497264476","-10.1405555086941","2.16061857453797","-"
"12","CSCO","23.15","23.24","22.79","23.02","36811200","23.02","0.52006694904806","55.2453729194809","-0.109690309061178","0.243539903267118","23.1060485155707","22.7103953338762","0.0174216774247137","6.17787115828353","2.11589837764655","-"
