"","stock","Open","High","Low","Close","Volume","Adjusted","BBand_pctB","RSI","PPO","ATR","EMA3","EMA30","EMADiff","mySignal","stopPct","buysell"
"2","TNA","69.06","71.65","68.56","70.69","7564400","70.69","0.315496436700454","43.3298537421092","-0.97709236746925","2.27205656115702","69.6797495268647","74.6843882283492","-0.0670105067498543","-16.3162494508922","6.42822623046263","-"
"21","SSO","103.85","104.99","103.51","104.36","4870000","104.36","0.574752752207892","52.9073512082282","-0.174225142966464","1.48997548191885","103.538122393036","103.213024474618","0.00314977610696687","4.36430982206518","2.85545320413732","-"
"3","UPRO","97.6","99.18","97.1","98.35","1359100","98.35","0.564723256916455","52.6339485894761","-0.266917110054979","2.09290072653823","97.1986980854579","96.8748236846972","0.00334322570552284","3.92786543557074","4.25602588009808","-"
"4","FAS","88.5","89.25","87.64","88.58","2659900","88.58","0.36645192376217","47.8529457776598","-0.693826908379256","2.13789702622505","87.6985269942024","89.6749935261507","-0.0220403309131205","-7.15302566401297","4.8270422809326","-"
"5","QLD","95.08","96.73","94.57","95.77","2171300","95.77","0.357794464235212","44.8878736339163","-0.316432015857208","1.95691625293889","95.1121904428025","98.4992716445173","-0.0343868654576324","-10.8279197144457","4.08669991216225","-"
"6","ERX","100.66","103.89","100.16","103.1","316200","103.1","1.09307743269714","70.2775553434207","0.824088049123888","2.21923020275006","100.19420727751","90.9161225639341","0.102051038384869","40.2402061634808","4.30500524296811","SELL"
"7","UWM","79.73","81.7","79.37","81.03","429500","81.03","0.328095813188921","44.0892962284285","-0.61818933959748","1.70357555984762","80.2131890500969","83.719698976492","-0.041883928982828","-12.9190253972384","4.20480207293007","-"
"8","AGQ","63.11","63.17","62.44","62.88","165900","62.88","0.0898901733279499","37.0125607067197","-0.00497200269785614","1.17551571946745","63.2319141981455","66.361929747163","-0.0471658307849507","-24.7099082152566","3.73891768278452","-"
"9","DDM","113.06","113.76","112.59","113.17","309900","113.17","0.631226795324338","54.1071356464152","-0.0854929839269922","1.43712599398844","112.528794785794","111.58220514647","0.00848333870155953","7.20935548807581","2.53976494475293","-"
"10","UST","52.3","52.3","51.65","51.8","25900","51.8","0.503388854700461","49.1316040239045","0.0952722734596734","0.166096361728789","52.1067516960146","51.833348467255","0.00527465882186505","-0.0391097323735637","0.641298693933549","-"
"11","VIX","16.14","17.5","15.47","15.61","0","15.61","0.725188683126986","53.2026327745676","1.63004219065146","0.641864409700103","15.8648096192215","14.9017046742571","0.06463052154216","14.4947438133163","8.22375925304424","-"
"12","AUY","8.05","8.13","7.93","7.96","7833500","7.96","-0.0657995055980674","26.0658588468397","-0.605617706641287","0.148181424937093","8.10693207016299","8.94779209882444","-0.0939740239127726","-41.4929958960992","3.72315138032897","BUY"
"13","XLK","35.91","36.17","35.72","36.03","7881700","36.03","0.462302719057832","50.6349506812189","-0.120494634914193","0.290889203442041","35.9449941903288","35.9716481567342","-0.000740971508706122","-0.540316163510658","1.61470554228166","-"
"14","INTU","74.07","74.75","73.66","74.03","1463300","74.03","0.244966872245724","38.4204718492507","-0.467734971200363","0.697918359835377","73.9777822418666","76.1978853444041","-0.0291360198843163","-17.9740762953505","1.88550144491524","-"
